request_id,timestamp,instance_id,system_type,traffic_pattern,workload_type,endpoint_group,test_tool,experiment_id,concurrent_users,http_method,endpoint_id,endpoint_complexity,payload_size_kb,cpu_utilization_pct,memory_usage_mb,active_connections,event_loop_lag_ms,rolling_avg_cpu_5s,rolling_avg_latency_5s,p95_latency_5s,p99_latency_5s,req_per_sec,short_term_error_rate,response_time_ms,status_code
9856775c-0c02-492d-9d52-4f51d0688f95,2026-06-02T03:07:32.980Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,8,POST,/api/heavy,heavy,0.01,0.0,46.75,1.0,0.04,0.62,0.0,0.0,0.0,0.2,0.0,163.06,200.0
b19f386b-7955-4843-856f-d536de654049,2026-06-02T03:07:32.986Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,17,POST,/api/heavy,heavy,0.01,0.0,47.01,1.0,0.03,0.0,0.0,0.0,0.0,0.2,0.0,185.93,200.0
e6e85e99-5b88-42f2-a4cc-2af89dcd0406,2026-06-02T03:07:32.985Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,43,POST,/api/heavy,heavy,0.01,1.6,46.91,1.0,0.04,1.26,0.0,0.0,0.0,0.2,0.0,206.71,200.0
6d512266-7408-433a-aa21-3b21971ee630,2026-06-02T03:07:33.146Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,40,POST,/api/heavy,heavy,0.01,0.0,46.75,1.0,0.04,0.62,163.06,163.06,163.06,0.4,0.0,163.36,200.0
8a7b5e3e-e85a-464d-8112-9d4e04c807b9,2026-06-02T03:07:33.194Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,6,POST,/api/heavy,heavy,0.01,1.6,46.91,1.0,0.04,1.26,206.71,206.71,206.71,0.4,0.0,191.9,200.0
31ec666b-d5f0-4472-91f0-01e664651972,2026-06-02T03:07:33.175Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,39,POST,/api/heavy,heavy,0.01,0.0,47.01,1.0,0.03,0.0,185.93,185.93,185.93,0.4,0.0,223.16,200.0
ef1336a1-26b8-49d5-88c1-bb5b7abc6828,2026-06-02T03:07:33.176Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,23,POST,/api/heavy,heavy,0.01,0.0,47.01,2.0,0.03,0.0,185.93,185.93,185.93,0.6,0.0,423.2,200.0
911b60cc-a203-454d-b613-67aaf3db90e4,2026-06-02T03:07:33.177Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,20,POST,/api/heavy,heavy,0.01,0.0,47.01,3.0,0.03,0.0,185.93,185.93,185.93,0.8,0.0,591.92,200.0
a5d64cfe-9ba9-454c-8bc3-efa59f6808f2,2026-06-02T03:07:33.177Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,26,POST,/api/heavy,heavy,0.01,0.0,47.01,4.0,0.03,0.0,185.93,185.93,185.93,1.0,0.0,733.59,200.0
906408cd-72be-46b0-bc40-7ff8eab893b7,2026-06-02T03:07:33.178Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,21,POST,/api/heavy,heavy,0.01,0.0,47.01,5.0,0.03,0.0,185.93,185.93,185.93,1.2,0.0,939.14,200.0
fdc482b5-54d7-4959-83b8-b1ab34dc503a,2026-06-02T03:07:33.178Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,50,POST,/api/heavy,heavy,0.01,0.0,47.01,6.0,0.03,0.0,185.93,185.93,185.93,1.4,0.0,1155.27,200.0
d8a2c2f0-362a-4801-ab14-586d22d624a1,2026-06-02T03:07:33.180Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,1,POST,/api/heavy,heavy,0.01,0.0,47.01,7.0,0.03,0.0,185.93,185.93,185.93,1.6,0.0,1325.05,200.0
78955fc2-998a-4949-a60f-4a9323ecb943,2026-06-02T03:07:33.182Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,46,POST,/api/heavy,heavy,0.01,0.0,47.01,8.0,0.03,0.0,185.93,185.93,185.93,1.8,0.0,1485.36,200.0
71b2001d-b440-404a-8e0f-a2094f3c537f,2026-06-02T03:07:33.183Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,13,POST,/api/heavy,heavy,0.01,0.0,47.01,9.0,0.03,0.0,185.93,185.93,185.93,2.0,0.0,1656.9,200.0
694e2a20-bc9a-4f89-b489-954809f2e60a,2026-06-02T03:07:33.184Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,44,POST,/api/heavy,heavy,0.01,0.0,47.01,10.0,0.03,0.0,185.93,185.93,185.93,2.2,0.0,1866.81,200.0
048eaebe-5aa7-46c5-9e86-1bfc5a7b09f1,2026-06-02T03:07:33.185Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,10,POST,/api/heavy,heavy,0.01,0.0,47.01,11.0,0.03,0.0,185.93,185.93,185.93,2.4,0.0,2027.25,200.0
678401e2-4901-4b16-8139-3a76bdf492b4,2026-06-02T03:07:33.186Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,34,POST,/api/heavy,heavy,0.01,0.0,47.01,12.0,0.03,0.0,185.93,185.93,185.93,2.6,0.0,2200.93,200.0
1062a334-f37d-47e7-a9cb-9fb4bfadfc59,2026-06-02T03:07:33.186Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,48,POST,/api/heavy,heavy,0.01,0.0,47.01,13.0,0.03,0.0,185.93,185.93,185.93,2.8,0.0,2441.92,200.0
e838cc78-bda6-45ea-9a5d-cb19c4a2f7af,2026-06-02T03:07:33.187Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,41,POST,/api/heavy,heavy,0.01,0.0,47.01,14.0,0.03,0.0,185.93,185.93,185.93,3.0,0.0,2629.08,200.0
64082546-fffd-4a57-9388-ac46f5437df7,2026-06-02T03:07:33.187Z,instance-2,A,steady,heavy,heavy,k6,Exp_A_03,36,POST,/api/heavy,heavy,0.01,0.0,47.01,15.0,0.03,0.0,185.93,185.93,185.93,3.2,0.0,2781.01,200.0
1f1dfba0-cf83-424f-8cf7-1a9c465a5a1b,2026-06-02T03:07:33.147Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,16,POST,/api/heavy,heavy,0.01,0.0,46.75,2.0,0.04,0.62,163.06,163.06,163.06,0.6,0.0,326.52,200.0
b29e03ab-25ae-4bed-a1d4-25d1e3d037f2,2026-06-02T03:07:33.148Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,47,POST,/api/heavy,heavy,0.01,0.0,46.75,3.0,0.04,0.62,163.06,163.06,163.06,0.8,0.0,541.55,200.0
1ae7e673-207f-431f-8533-70f4895b053e,2026-06-02T03:07:33.149Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,28,POST,/api/heavy,heavy,0.01,0.0,46.75,4.0,0.04,0.62,163.06,163.06,163.06,1.0,0.0,788.92,200.0
ad56302d-5016-4756-8f2f-422249127184,2026-06-02T03:07:33.150Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,4,POST,/api/heavy,heavy,0.01,0.0,46.75,5.0,0.04,0.62,163.06,163.06,163.06,1.2,0.0,970.11,200.0
b2581020-8cca-4a4f-9d92-f8f4ab912685,2026-06-02T03:07:33.151Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,33,POST,/api/heavy,heavy,0.01,0.0,46.75,6.0,0.04,0.62,163.06,163.06,163.06,1.4,0.0,1132.47,200.0
f32bc156-f7b2-4c13-80de-1e66747c2e4e,2026-06-02T03:07:33.152Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,18,POST,/api/heavy,heavy,0.01,0.0,46.75,7.0,0.04,0.62,163.06,163.06,163.06,1.6,0.0,1303.7,200.0
d45d8522-a386-4baf-98a6-37efe2f34b39,2026-06-02T03:07:33.154Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,24,POST,/api/heavy,heavy,0.01,0.0,46.75,8.0,0.04,0.62,163.06,163.06,163.06,1.8,0.0,1557.95,200.0
6f24d94a-628a-447b-a61c-3d36b1e7fb53,2026-06-02T03:07:33.156Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,12,POST,/api/heavy,heavy,0.01,0.0,46.75,9.0,0.04,0.62,163.06,163.06,163.06,2.0,0.0,1763.58,200.0
9cbc5280-01a6-4f4a-a33d-f6340331207c,2026-06-02T03:07:33.157Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,38,POST,/api/heavy,heavy,0.01,0.0,46.75,10.0,0.04,0.62,163.06,163.06,163.06,2.2,0.0,1944.27,200.0
cc080c27-adc1-4a80-9ccb-b199639b4bc0,2026-06-02T03:07:33.157Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,7,POST,/api/heavy,heavy,0.01,0.0,46.75,11.0,0.04,0.62,163.06,163.06,163.06,2.4,0.0,2144.29,200.0
81639566-4174-4250-9f00-3516920a59dc,2026-06-02T03:07:33.158Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,9,POST,/api/heavy,heavy,0.01,0.0,46.75,12.0,0.04,0.62,163.06,163.06,163.06,2.6,0.0,2330.7,200.0
5fd50833-da6f-4934-94c8-b4593375e603,2026-06-02T03:07:33.159Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,2,POST,/api/heavy,heavy,0.01,0.0,46.75,13.0,0.04,0.62,163.06,163.06,163.06,2.8,0.0,2481.7,200.0
8136fab5-9580-4cae-89bf-685d3141d6a3,2026-06-02T03:07:33.160Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,35,POST,/api/heavy,heavy,0.01,0.0,46.75,14.0,0.04,0.62,163.06,163.06,163.06,3.0,0.0,2671.22,200.0
ac0eae4d-5f55-4dc1-aa03-a94b67ef2724,2026-06-02T03:07:33.161Z,instance-3,A,steady,heavy,heavy,k6,Exp_A_03,3,POST,/api/heavy,heavy,0.01,0.0,46.75,15.0,0.04,0.62,163.06,163.06,163.06,3.2,0.0,2910.0,200.0
ee5ea4f0-68c8-47df-a48a-4d5bc6960a66,2026-06-02T03:07:33.196Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,42,POST,/api/heavy,heavy,0.01,1.6,46.91,2.0,0.04,1.26,206.71,206.71,206.71,0.6,0.0,339.38,200.0
99decb00-6fd9-4a08-bdd6-0ff2076155eb,2026-06-02T03:07:33.196Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,29,POST,/api/heavy,heavy,0.01,1.6,46.91,3.0,0.04,1.26,206.71,206.71,206.71,0.8,0.0,489.51,200.0
ce8f7291-9f9d-44d1-a8ff-38315ea44081,2026-06-02T03:07:33.197Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,27,POST,/api/heavy,heavy,0.01,1.6,46.91,4.0,0.04,1.26,206.71,206.71,206.71,1.0,0.0,639.96,200.0
99d6dcbb-458b-439a-a11b-2202627bd904,2026-06-02T03:07:33.197Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,30,POST,/api/heavy,heavy,0.01,1.6,46.91,5.0,0.04,1.26,206.71,206.71,206.71,1.2,0.0,797.03,200.0
fcfaf5de-1fe0-457f-8930-4c9370e56906,2026-06-02T03:07:33.197Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,15,POST,/api/heavy,heavy,0.01,1.6,46.91,6.0,0.04,1.26,206.71,206.71,206.71,1.4,0.0,963.36,200.0
79d6b43c-4f21-4302-85dd-ec2a73c11061,2026-06-02T03:07:33.198Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,32,POST,/api/heavy,heavy,0.01,1.6,46.91,7.0,0.04,1.26,206.71,206.71,206.71,1.6,0.0,1158.46,200.0
472812a4-11d5-4925-aa51-a8f578585b00,2026-06-02T03:07:33.199Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,5,POST,/api/heavy,heavy,0.01,1.6,46.91,8.0,0.04,1.26,206.71,206.71,206.71,1.8,0.0,1354.93,200.0
09da703d-d48c-4aaa-9b91-48b51f9b89a1,2026-06-02T03:07:33.199Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,37,POST,/api/heavy,heavy,0.01,1.6,46.91,9.0,0.04,1.26,206.71,206.71,206.71,2.0,0.0,1551.82,200.0
240887ba-ac8e-47ef-94dc-359dcaaf1210,2026-06-02T03:07:33.200Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,25,POST,/api/heavy,heavy,0.01,1.6,46.91,10.0,0.04,1.26,206.71,206.71,206.71,2.2,0.0,1702.04,200.0
107249a9-ec1a-496e-8991-d61c9642d403,2026-06-02T03:07:33.200Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,22,POST,/api/heavy,heavy,0.01,1.6,46.91,11.0,0.04,1.26,206.71,206.71,206.71,2.4,0.0,1866.9,200.0
0ac0a999-31b5-4ce6-9d1c-5f5567c19557,2026-06-02T03:07:33.200Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,11,POST,/api/heavy,heavy,0.01,1.6,46.91,12.0,0.04,1.26,206.71,206.71,206.71,2.6,0.0,2048.84,200.0
81bd2917-8f9c-4a1d-8b61-981baa33ea9f,2026-06-02T03:07:33.200Z,instance-1,A,steady,heavy,heavy,k6,Exp_A_03,14,POST,/api/heavy,heavy,0.01,1.6,46.91,13.0,0.04,1.26,206.71,206.71,206.71,2.8,0.0,2206.2,200.0
